Time and Date,Electricity:Facility ,Heating:Electricity ,Cooling:Electricity ,InteriorLights:Electricity ,ExteriorLights:Electricity ,InteriorEquipment:Electricity ,Fans:Electricity ,Pumps:Electricity ,Gas:Facility ,Heating:Gas ,WaterSystems:Gas 
 12/23  22:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,1671058.395,0,1671058.395
 12/23  23:00:00,19323062.59,0,0,1792322.307,9957600,5940057.914,1633082.366,1.45E-05,1948056.342,277005.6102,1671050.732
 12/23  24:00:00,22304035.09,0,0,1792322.307,9957600,5940057.914,4614054.864,1.45E-05,5023353.795,4951353.795,72000
 12/24  01:00:00,22839329.38,0,0,1792322.307,9957600,5940057.914,5149349.161,1.45E-05,19003318.6,17332241.17,1671077.43
 12/24  02:00:00,22901854.9,0,0,1792322.307,9957600,5940057.914,5211874.677,1.45E-05,23128253.79,21457208.93,1671044.86
 12/24  03:00:00,22839329.38,0,0,1792322.307,9957600,5940057.914,5149349.161,1.45E-05,16310577.62,16238577.62,72000
 12/24  04:00:00,22901854.9,0,0,1792322.307,9957600,5940057.914,5211874.677,1.45E-05,21203386.93,19532291.25,1671095.676
 12/24  05:00:00,22839329.38,0,0,1792322.307,9957600,5940057.914,5149349.161,1.45E-05,20538664.7,20466664.7,72000
 12/24  06:00:00,22901854.9,0,0,1792322.307,9957600,5940057.914,5211874.677,1.45E-05,27007274.87,25336183.26,1671091.611
 12/24  07:00:00,22839329.38,0,0,1792322.307,9957600,5940057.914,5149349.161,1.45E-05,26315017.67,24643928.16,1671089.511
 12/24  08:00:00,16263454.9,0,0,1792322.307,3319200,5940057.914,5211874.677,1.45E-05,25270225.45,25198225.45,72000
 12/24  09:00:00,12881729.38,0,0,1792322.307,0,5940057.914,5149349.161,1.45E-05,26650104.82,24979017.41,1671087.409
 12/24  10:00:00,12944254.9,0,0,1792322.307,0,5940057.914,5211874.677,1.45E-05,22374700.97,20703604.27,1671096.698
 12/24  11:00:00,12881729.38,0,0,1792322.307,0,5940057.914,5149349.161,1.45E-05,19484282.74,19412282.74,72000
 12/24  12:00:00,12944254.9,0,0,1792322.307,0,5940057.914,5211874.677,1.45E-05,18646350.74,16975314.28,1671036.463
 12/24  13:00:00,12881729.38,0,0,1792322.307,0,5940057.914,5149349.161,1.45E-05,19742574.49,18071475.06,1671099.432
 12/24  14:00:00,12944254.9,0,0,1792322.307,0,5940057.914,5211874.677,1.45E-05,15177329.18,15105329.18,72000
 12/24  15:00:00,12881729.38,0,0,1792322.307,0,5940057.914,5149349.161,1.45E-05,20104699.55,18433578.99,1671120.565
 12/24  16:00:00,12944254.9,0,0,1792322.307,0,5940057.914,5211874.677,1.45E-05,21909704.65,20238619.48,1671085.171
 12/24  17:00:00,16200929.38,0,0,1792322.307,3319200,5940057.914,5149349.161,1.45E-05,24995733.96,24923733.96,72000
 12/24  18:00:00,22901854.9,0,0,1792322.307,9957600,5940057.914,5211874.677,1.45E-05,29081599.19,27410590.23,1671008.96
 12/24  19:00:00,22839329.38,0,0,1792322.307,9957600,5940057.914,5149349.161,1.45E-05,35523578.38,33852475.04,1671103.343
 12/24  20:00:00,22901854.9,0,0,1792322.307,9957600,5940057.914,5211874.677,1.45E-05,34455282.44,34383282.44,72000
 12/24  21:00:00,22839329.38,0,0,1792322.307,9957600,5940057.914,5149349.161,1.45E-05,41973966.12,40302880.62,1671085.502
 12/24  22:00:00,23957328.7,0,2173.834784,1792322.307,9957600,5940057.914,6265174.645,1.45E-05,41470649.33,39799584.39,1671064.943
 12/24  23:00:00,23817393.64,0,0,1792322.307,9957600,5940057.914,6127413.417,1.45E-05,44816024.91,44744024.91,72000
 12/24  24:00:00,24030390.58,0,0,1792322.307,9957600,5940057.914,6340410.357,1.45E-05,43507793.98,41836698.32,1671095.654
 12/25  01:00:00,24268807.91,0,0,1792322.307,9957600,5940057.914,6578827.688,1.45E-05,48656182.93,46985104.85,1671078.084
 12/25  02:00:00,24707511.99,0,0,1792322.307,9957600,5940057.914,7017531.764,1.45E-05,42178857.38,42106857.38,72000
 12/25  03:00:00,24344043.62,0,0,1792322.307,9957600,5940057.914,6654063.4,1.45E-05,53416588.55,51745534.65,1671053.901
 12/25  04:00:00,24782747.7,0,0,1792322.307,9957600,5940057.914,7092767.476,1.45E-05,49188216.12,49116216.12,72000
 12/25  05:00:00,24344043.62,0,0,1792322.307,9957600,5940057.914,6654063.4,1.45E-05,56002209.44,54331112.77,1671096.672
 12/25  06:00:00,24782747.7,0,0,1792322.307,9957600,5940057.914,7092767.476,1.45E-05,52209319.52,50538507.79,1670811.73
 12/25  07:00:00,24344043.62,0,0,1792322.307,9957600,5940057.914,6654063.4,1.45E-05,56467876.62,56395876.62,72000
 12/25  08:00:00,18144347.7,0,0,1792322.307,3319200,5940057.914,7092767.476,1.45E-05,54595505.38,52924424.94,1671080.438
 12/25  09:00:00,14386443.62,0,0,1792322.307,0,5940057.914,6654063.4,1.45E-05,58150383.65,56479293.93,1671089.714
 12/25  10:00:00,14825147.7,0,0,1792322.307,0,5940057.914,7092767.476,1.45E-05,50016915.23,49944915.23,72000
 12/25  11:00:00,14386443.62,0,0,1792322.307,0,5940057.914,6654063.4,1.45E-05,48898208.63,47227109.41,1671099.219
 12/25  12:00:00,14825147.7,0,0,1792322.307,0,5940057.914,7092767.476,1.45E-05,37625629.84,35954510.81,1671119.029
 12/25  13:00:00,14311207.91,0,0,1792322.307,0,5940057.914,6578827.688,1.45E-05,42304226.92,42232226.92,72000
 12/25  14:00:00,14825147.7,0,0,1792322.307,0,5940057.914,7092767.476,1.45E-05,40786303.7,39115274.54,1671029.156
 12/25  15:00:00,14235972.2,0,0,1792322.307,0,5940057.914,6503591.976,1.45E-05,43792113.61,42121002.56,1671111.049
